id,state,location
2686,tx,Town East Mall
2727,tx,Westgate Mall (TX)
2737,tx,Willowbrook Mall
2750,ut,Fashion Place
2771,ut,University Mall (UT)
2777,va,Apple Blossom Mall
2779,va,Ballston Quarter
2802,va,Crystal City In-Line
2837,va,Mall at Chesterfield Towne Center
2854,va,Patrick Henry Mall
2855,va,Pentagon City InLine
2862,va,River Ridge Mall
2868,va,Seven Corners In-Line
2870,va,Short Pump Town Center
2874,va,Southpark (VA)
2876,va,Spotsylvania Towne Centre
2883,va,The Shops at Willow Lawn
2886,va,Tyson's West In-Line
2890,va,Valley View Mall
2914,dc,7th Street[DC] In-Line
2919,dc,Dupont In-Line
2924,dc,Tenleytown In-Line
2948,wv,Charleston Town Center
2953,wv,Grand Central Mall
2959,wv,Meadowbrook Mall
2961,wv,Mercer Mall
