state,num_locations
tx,473
ga,264
fl,244
nc,190
ca,176
va,139
sc,103
tn,102
pa,102
al,92
md,88
oh,80
il,64
nj,62
in,57
la,56
co,55
ok,51
az,49
ky,48
ny,46
mo,44
ms,42
ar,36
ut,33
mi,27
mn,26
wv,23
ks,23
wa,20
wi,19
ma,18
nv,17
nm,15
de,15
ia,15
ct,13
dc,13
ne,11
id,10
or,10
nd,4
sd,4
nh,3
mt,3
ri,2
me,2
wy,1
