total_services,avg_price
8,5.029956461726755
7,5.071843688935042
6,5.287142829019196
5,5.287288152565391
4,5.209056629324859
3,5.230000087193081
2,5.487500071525574
1,5.8019999980926515
0,5.386562451720238
