id,state,location
666,fl,Wells Road
669,fl,West Boynton Beach
670,fl,West Hillsborough
671,fl,West Tennessee Street
680,ga,Abercorn
682,ga,Akers Mill Drive-Thru Only
686,ga,Americus [GA]
687,ga,Arbor Place
688,ga,AT&T Center
693,ga,Austell Road
694,ga,Avalon
698,ga,Barrett Parkway
701,ga,Berry College
706,ga,Brookhaven In-Line
708,ga,Brunswick (GA)
709,ga,Byron [GA]
710,ga,Calhoun
711,ga,Camp Creek Parkway
713,ga,Carrollton
716,ga,Chamblee Plaza
717,ga,Chastain Road In-Line DT
724,ga,CNN Center
725,ga,College Football Hall of Fame
726,ga,Colony Square
729,ga,Commerce
736,ga,Cumberland Mall
740,ga,Dalton
741,ga,Dalton Mall
743,ga,Delta Air Lines Headquarters
747,ga,Downtown Athens In-Line
748,ga,Downtown Decatur
751,ga,Dwarf House Shipping Container Drive-Thru
752,ga,Eagles Landing
758,ga,Fairburn Road Drive-Thru Only
759,ga,Fayetteville Dwarf House
761,ga,Forest Park Dwarf House
765,ga,Georgia College and State University
767,ga,Georgia Southern University
770,ga,Georgia State University
773,ga,Grady Memorial Hospital
779,ga,Hartsfield-Jackson Atlanta Int'l Airport - Conc A
780,ga,Hartsfield-Jackson Atlanta Int'l Airport - Conc C
781,ga,Hickory Flat
783,ga,Hiram
784,ga,Howell Mill
786,ga,Jefferson (GA)
788,ga,Jett Ferry Road
789,ga,Jimmy Carter Blvd.
791,ga,Jonesboro Dwarf House
793,ga,Kennesaw State University
794,ga,Kennesaw State University - Marietta
795,ga,Kingsland
796,ga,Kroger/W. Marietta Crossing
799,ga,Lake Oconee [GA]
808,ga,Locust Grove
809,ga,Loganville
820,ga,Mercer University
822,ga,Midtown Savannah
828,ga,North Dalton
831,ga,North Druid Hills Drive-Thru Only
833,ga,North Point Parkway
835,ga,Northeast Georgia Medical Center
842,ga,Peachtree Center
843,ga,Peachtree City Midtown
844,ga,Peachtree Corners
845,ga,Peachtree Ind. & Pleasant Hill
852,ga,Pleasant Hill Dwarf House
853,ga,Ponce & Boulevard
854,ga,Pooler
865,ga,Riverdale Dwarf House
866,ga,Rivermont Station
867,ga,Riverstone Parkway
870,ga,Roswell Corners
871,ga,Roswell Road at Cobb Parkway
872,ga,Roswell Town Center
874,ga,Saint Simons
876,ga,Sam Nunn Blvd
878,ga,Sanford Stadium
879,ga,Savannah Quarters
880,ga,Savannah State University
882,ga,Senoia
883,ga,Smyrna (GA)
885,ga,South Cobb Drive
887,ga,St. Augustine Road
891,ga,Stonebridge Village
894,ga,Suwanee Road
895,ga,Terminus In-Line
896,ga,Terrell Mill
900,ga,Thomaston [GA]
905,ga,Toccoa [GA]
906,ga,Tom Hill Sr Blvd
908,ga,Towne Lake
909,ga,Truett's Chick-fil-A - Newnan
910,ga,Truett's Chick-fil-A - Rome
911,ga,Truett's Chick-fil-A - Stockbridge
912,ga,Truett's Chick-fil-A - Woodstock
913,ga,Truett's Chick-fil-A Catering & Delivery - VA Ave
914,ga,Truett's Grill - Griffin
915,ga,Truett's Grill - McDonough
916,ga,Truett's Grill - Morrow
917,ga,Truett's Luau
923,ga,University of Georgia
924,ga,University of West Georgia
925,ga,Valdosta State University - Student Union
926,ga,Victory at Skidaway
929,ga,Vine City
930,ga,Vinings
931,ga,Washington Road
932,ga,Watson Blvd
933,ga,Waycross
934,ga,Wesley Chapel Road
936,ga,West Midtown
937,ga,West Paces Ferry
940,ga,Windy Hill Road
951,id,Twin Falls
953,id,Village at Meridian
954,il,Addison & Elston (IL) In-Line
955,il,Algonquin (IL)
959,il,Bradley Bourbonnais (IL)
967,il,Chicago Union Station
974,il,Edwardsville (IL)
980,il,Golf Mill (IL)
984,il,Illinois Medical District (IL) In-Line
985,il,Joliet (IL)
988,il,Loyola Water Tower In-Line
989,il,Machesney Park (IL)
992,il,Millennium Park (IL) In-Line
1004,il,South Loop (IL)
1007,il,State and Lake In-Line
1008,il,Touhy Marketplace (IL)
1017,il,Wrigleyville (IL) In-Line
1021,in,Ball State University
1030,in,Downtown Indy (IN) In-Line
1031,in,East Washington St. - Indianapolis
1033,in,Gainbridge Fieldhouse
1035,in,Greenfield (IN)
1044,in,Jeffersonville
1046,in,Marian University
1047,in,Merrillville
1052,in,North Greenwood (IN)
1054,in,Portage Rd
1057,in,Schererville (IN)
1058,in,South Bend
1063,in,The Pyramids
1065,in,University of Notre Dame - Duncan Student Center
1068,in,Valparaiso (IN)
1073,in,Westfield Wheeler Landing
1086,ia,Sergeant Road
1090,ks,113th & Nall (KS)
1091,ks,135th and 69 Hwy
1094,ks,97th & Metcalf (KS)
1100,ks,K96 & Greenwich Rd (KS)
1101,ks,Kansas State University
1111,ks,Wichita Dwight D. Eisenhower National Airport
1114,ky,Bardstown Road
1115,ky,Blankenbaker
1118,ky,Cincinnati-Northern Kentucky International Airport
1120,ky,Eastern Kentucky University
1122,ky,Fayette Mall
1123,ky,Fort Wright
1125,ky,Georgetown (KY)
1126,ky,Glenmary
1127,ky,Hamburg Place
1132,ky,Louisville Catering & Delivery
1135,ky,Middletown Commons
1138,ky,Nashville Rd at Campbell Lane
1141,ky,Owensboro
1142,ky,Paducah
1143,ky,Palomar
1147,ky,Russell Cave Rd
1150,ky,Springhurst
1154,ky,University of Kentucky
1155,ky,University of Kentucky - The 90
1164,la,Algiers
1166,la,College Drive
1170,la,East Houma
1177,la,I-10 & Carrollton
1178,la,I-10 at Louisiana Avenue
1182,la,Kaliste Saloom
1186,la,Lakeside Shopping Center
1188,la,Louis Armstrong New Orleans Int'l Airport
1189,la,Louisiana State University
1190,la,Louisiana Tech University
1193,la,Mansfield Road
1196,la,Natchitoches [LA]
1197,la,Nicholls State University
1201,la,Poydras Street In-Line
1205,la,Southeastern Louisiana University - War Memorial
1206,la,Southern University
1209,la,University of Louisiana Lafayette
1210,la,University of Louisiana Monroe
1211,la,University of New Orleans
1215,la,Xavier University
1217,me,Bangor
1218,me,Rock Row
1221,md,Anne Arundel Community College
1223,md,Balk Hill
1224,md,Baltimore-Washington Intl Airport - A/B Core
1228,md,Brandywine
1230,md,Canton Crossing
1232,md,Capital Plaza
1237,md,Columbia Mall (MD)
1247,md,Elkton
1252,md,Frederick
1254,md,Frostburg State University
1259,md,Ingleside
1260,md,Inner Harbor In-Line
1263,md,Kent Island
1270,md,Martin Plaza
1281,md,Queen City Centre
1283,md,Ridgeside Drive
1286,md,Security Square
1287,md,Severna Park
1289,md,Silver Spring In-Line
1295,md,University of Maryland- Baltimore County
1296,md,University of Maryland-College Park
1301,md,Westfield Annapolis Mall
1306,md,York Road
1307,ma,Attleboro
1312,ma,Copley Square In-Line
