id,state,location,Mobile Orders,Catering,Pickup,Delivery,WiFi,Playground,Breakfast Served,Drive-thru,cost of chicken sandwich
56,al,Pell City,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.75
57,al,Phenix City,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
58,al,Prattville,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
59,al,RELO Montgomery-Promenade,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
60,al,Riverchase Galleria,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.09
61,al,Ross Clark Circle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
62,al,RSA Battlehouse,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.09
63,al,RSA Regions Tower,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5.09
64,al,Samford University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
65,al,Schillinger Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
66,al,Scottsboro [AL],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
67,al,South Memorial Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
68,al,Southeast Decatur,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
69,al,Southwest Decatur,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
70,al,Spanish Fort,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.79
71,al,Sylacauga [AL],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
72,al,The Grove,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
73,al,TigerTown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4.75
74,al,Troy (AL),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
75,al,Troy University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
76,al,Trussville (AL),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
77,al,Tuscaloosa Drive-Thru Only,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,4.75
78,al,Tuscaloosa South,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
79,al,Tuskegee University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
80,al,University Drive,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.95
81,al,University Mall (AL),TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.09
82,al,University of Alabama,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
83,al,University of Alabama - Huntsville,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
84,al,University of Alabama Birmingham,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
85,al,University of Alabama Birmingham Hospital,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
86,al,University of Alabama-Lloyd Hall,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
87,al,University of North Alabama,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
88,al,University of South Alabama,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
89,al,Vestavia Hills,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
90,al,Whitesburg Drive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
91,al,Wildwood Centre,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
92,az,303 & Waddell,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
93,az,7th Ave. & Roosevelt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.49
94,az,89th & Shea,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.39
95,az,Ahwatukee Foothills Town Center,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.39
96,az,Arcadia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
97,az,Arizona & Ocotillo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.39
98,az,Arizona State University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
99,az,Arizona State University - Downtown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
100,az,Arizona State University - West Campus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
101,az,Arrowhead,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.45
102,az,Avondale,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.45
103,az,Bethany Home,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.25
104,az,Camelback & 16th Street,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.45
105,az,Casa Grande,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
106,az,Chandler Festival,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
107,az,Chase Field,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.99
108,az,Crossroads Towne Center,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
109,az,Deer Valley,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.45
110,az,El Con,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
111,az,Flagstaff,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.75
112,az,Gilbert Gateway Towne Center,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
113,az,Goodyear,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.45
114,az,Grand Canyon University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
115,az,Grand Canyon University - Diamondback Apartments,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
116,az,Higley & Baseline,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
117,az,I-19 & Irvington,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
118,az,Ina at Thornydale,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
119,az,Mesa Riverview,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.39
120,az,Metrocenter,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5.25
121,az,Norterra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.45
122,az,Northern Arizona University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
123,az,Oracle Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
124,az,Paradise Valley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
125,az,Phoenix Sky Harbor International Airport,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
126,az,Power & McKellips,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.39
127,az,Prescott Valley Crossroads,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
128,az,Queen Creek,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.45
129,az,Raintree Drive & 101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.39
130,az,San Tan Village Marketplace,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
131,az,Scottsdale 101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.39
132,az,South Mountain,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.25
133,az,Stapley Drive,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.45
