id,state,location,Mobile Orders,Catering,Pickup,Delivery,WiFi,Playground,Breakfast Served,Drive-thru,cost of chicken sandwich
644,fl,Tuskawilla Road,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.09
645,fl,Tyndall Parkway,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,4.95
646,fl,Tyrone Boulevard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.95
647,fl,Tyrone Square Mall,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.25
648,fl,Universal Blvd,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
649,fl,University at Forsyth,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
650,fl,University at Rouse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.95
651,fl,University of Central Florida,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
652,fl,University of Central Florida - RWC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
653,fl,University of Florida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
654,fl,University of Florida-Broward Complex,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
655,fl,University of North Florida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
656,fl,University of South Florida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
657,fl,University of Tampa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
658,fl,University of West Florida,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
659,fl,Uptown District,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.95
660,fl,UTC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.95
661,fl,Vero Beach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
662,fl,Viera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
663,fl,Vineland Pointe,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.09
664,fl,Waterford Lakes Town Center,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
665,fl,Waters Ave.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
666,fl,Wells Road,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.95
667,fl,Wesley Chapel (FL),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,4.95
668,fl,West Boca,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5.09
669,fl,West Boynton Beach,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.19
670,fl,West Hillsborough,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5.09
671,fl,West Tennessee Street,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,4.89
672,fl,Westfield Brandon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5.25
673,fl,Westfield Citrus Park,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5.25
674,fl,Westfield Countryside Mall,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,4.65
675,fl,Weston,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5.25
676,fl,Westshore Plaza,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5.25
677,fl,Winter Garden,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.09
678,fl,Winter Haven,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.95
679,fl,Zephyrhills,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.95
680,ga,Abercorn,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
681,ga,Acworth,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
682,ga,Akers Mill Drive-Thru Only,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
683,ga,Albany,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.75
684,ga,Albany State University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
685,ga,Alpharetta Commons,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
686,ga,Americus [GA],TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
687,ga,Arbor Place,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5.09
688,ga,AT&T Center,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5.09
689,ga,Athens/Atlanta Highway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
690,ga,Atlanta - Faulkner Road LBM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
691,ga,Augusta Exchange,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
692,ga,Augusta Mall,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5.09
693,ga,Austell Road,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
694,ga,Avalon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
695,ga,Bainbridge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
696,ga,Bankhead Hwy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
697,ga,Barnett Shoals,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
698,ga,Barrett Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
699,ga,Bass Road,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.85
700,ga,Beechwood,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
701,ga,Berry College,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
702,ga,Blairsville,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
703,ga,Bradley Park Drive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
704,ga,Braselton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
705,ga,Bremen,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,4.75
706,ga,Brookhaven In-Line,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4.85
707,ga,Brookstone,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
708,ga,Brunswick (GA),TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4.85
709,ga,Byron [GA],TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.79
710,ga,Calhoun,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
711,ga,Camp Creek Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
712,ga,Canton Marketplace,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
713,ga,Carrollton,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
714,ga,Cascade Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
715,ga,Cedartown [GA],TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,4.75
716,ga,Chamblee Plaza,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
717,ga,Chastain Road In-Line DT,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4.85
718,ga,Chastain Square,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
719,ga,Cherokee Place,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
720,ga,Children's Hospital of Georgia OCV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
721,ga,Clayton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
722,ga,Cleveland (GA),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
723,ga,Cleveland Avenue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
724,ga,CNN Center,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5.09
725,ga,College Football Hall of Fame,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,5.09
726,ga,Colony Square,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5.25
727,ga,Columbus Park Crossing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
728,ga,Columbus State University,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
729,ga,Commerce,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
730,ga,Commerce Avenue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
731,ga,Conyers,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,4.75
732,ga,Cordele,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
733,ga,Cornelia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
734,ga,Covington (GA),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
735,ga,Coweta Crossroads,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
736,ga,Cumberland Mall,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5.19
737,ga,Dacula,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
738,ga,Dahlonega,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
739,ga,Dallas (GA),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
740,ga,Dalton,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
741,ga,Dalton Mall,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5.09
742,ga,Dawsonville,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
743,ga,Delta Air Lines Headquarters,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
744,ga,Doraville Plaza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
745,ga,Douglas [GA],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
746,ga,Douglasville,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
747,ga,Downtown Athens In-Line,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5.09
748,ga,Downtown Decatur,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
749,ga,Dublin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
750,ga,Dwarf House Chick-fil-A Classics Mt. Berry Square,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4.95
751,ga,Dwarf House Shipping Container Drive-Thru,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4.95
752,ga,Eagles Landing,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
753,ga,East Lake,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
754,ga,Eisenhower Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
755,ga,Ellijay,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
756,ga,Epps Bridge,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
757,ga,Fairburn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
758,ga,Fairburn Road Drive-Thru Only,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
759,ga,Fayetteville Dwarf House,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.95
760,ga,Fayetteville Towne Center,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
761,ga,Forest Park Dwarf House,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.95
762,ga,Fort Oglethorpe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
763,ga,Fort Valley State University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
764,ga,Gainesville West,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
765,ga,Georgia College and State University,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
766,ga,Georgia Gwinnett College,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
767,ga,Georgia Southern University,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
768,ga,Georgia Southern University - Armstrong Campus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
769,ga,Georgia Southwestern State University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
770,ga,Georgia State University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
771,ga,Georgia State University - Petit Science Center,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
772,ga,Glenwood Place,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
773,ga,Grady Memorial Hospital,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
774,ga,Griffin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
775,ga,Grovetown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
776,ga,Gulfstream Aerospace,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
777,ga,Halcyon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
778,ga,Hamilton Mill,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
779,ga,Hartsfield-Jackson Atlanta Int'l Airport - Conc A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
780,ga,Hartsfield-Jackson Atlanta Int'l Airport - Conc C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
781,ga,Hickory Flat,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
782,ga,Hinesville,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
783,ga,Hiram,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
784,ga,Howell Mill,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
785,ga,Hwy 96 and Houston Lake,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
786,ga,Jefferson (GA),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,4.75
787,ga,Jesse Jewell Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
788,ga,Jett Ferry Road,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
789,ga,Jimmy Carter Blvd.,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.95
790,ga,Johns Creek,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
791,ga,Jonesboro Dwarf House,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.95
792,ga,Kedron Village,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
793,ga,Kennesaw State University,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
794,ga,Kennesaw State University - Marietta,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
795,ga,Kingsland,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
796,ga,Kroger/W. Marietta Crossing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4.89
797,ga,LaFayette Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
798,ga,Lake Dow,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4.75
799,ga,Lake Oconee [GA],TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
800,ga,Lake Park,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
801,ga,LakePoint,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
802,ga,Lassiter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
803,ga,Lavonia [GA],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
804,ga,Lee Crossings,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
805,ga,Lenox Square,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5.09
806,ga,Lilburn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.95
807,ga,Line Creek,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
808,ga,Locust Grove,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4.75
809,ga,Loganville,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
810,ga,Lovejoy Station,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.75
811,ga,Macland Crossing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
812,ga,Macon Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
813,ga,Madison (GA),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
814,ga,Mall of Georgia,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5.09
815,ga,Mall of Georgia on Buford Drive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
816,ga,Manchester Expressway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
817,ga,McDonough,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
818,ga,Memorial Drive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
819,ga,Mercedes-Benz Stadium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.09
820,ga,Mercer University,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
821,ga,Midland,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
822,ga,Midtown Savannah,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4.85
823,ga,Milledgeville,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.79
824,ga,Monroe (GA),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
825,ga,Moore Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.99
826,ga,Moultrie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
827,ga,Mullins Crossing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
828,ga,North Dalton,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
829,ga,North Decatur,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
830,ga,North Druid Hills,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
831,ga,North Druid Hills Drive-Thru Only,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
832,ga,North Point Mall,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5.09
833,ga,North Point Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
834,ga,North Valdosta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
835,ga,Northeast Georgia Medical Center,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
836,ga,Northlake Festival,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
837,ga,Northridge Drive-Thru Only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
838,ga,Oglethorpe Mall,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5.09
839,ga,Outlet Shoppes at Atlanta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
840,ga,Peach Orchard Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
841,ga,Peachtree at Collier,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
842,ga,Peachtree Center,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5.09
843,ga,Peachtree City Midtown,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
844,ga,Peachtree Corners,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
845,ga,Peachtree Ind. & Pleasant Hill,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.79
846,ga,Peachtree Mall,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5.19
847,ga,Perimeter at Hammond Drive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
848,ga,Perimeter Mall,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5.25
849,ga,Perimeter Pointe,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.85
850,ga,Piedmont Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
851,ga,Pike Street,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
852,ga,Pleasant Hill Dwarf House,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.95
853,ga,Ponce & Boulevard,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
854,ga,Pooler,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
855,ga,Poplar Road,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
856,ga,RELO Hills and Dales,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
857,ga,RELO Hiram,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.75
858,ga,RELO Lanier Crossing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
859,ga,RELO Larry Mulkey Memorial Rd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
860,ga,RELO Sugarloaf and Satellite,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.99
861,ga,RELO Tucker Hugh Howell Road,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.85
862,ga,RELO Wesley Chapel Road,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
863,ga,RELO Winder,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.75
864,ga,Rincon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
865,ga,Riverdale Dwarf House,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.95
866,ga,Rivermont Station,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
867,ga,Riverstone Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
868,ga,Robson Crossing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
869,ga,Rockmart,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
870,ga,Roswell Corners,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
871,ga,Roswell Road at Cobb Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
872,ga,Roswell Town Center,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
873,ga,Russell Parkway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
874,ga,Saint Simons,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
875,ga,Salem Bridge [GA],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.75
876,ga,Sam Nunn Blvd,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.79
877,ga,Sandy Springs,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
878,ga,Sanford Stadium,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5.09
879,ga,Savannah Quarters,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4.85
880,ga,Savannah State University,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
881,ga,Scenic Highway,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4.95
882,ga,Senoia,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.75
883,ga,Smyrna (GA),TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4.85
884,ga,Snellville at Hwy 78,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.85
